timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.params.Maghrib,meta.method.params.Midnight,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight
"06:13 (MST)","07:31 (MST)","12:31 (MST)","15:13 (MST)","17:32 (MST)","17:49 (MST)","18:40 (MST)","07:03 (MST)","00:31 (MST)","22:12 (MST)","02:51 (MST)","01 Jan 2024",1704124861,01-01-2024,DD-MM-YYYY,01,Monday,1,January,2024,AD,"Anno Domini",20-06-1445,DD-MM-YYYY,20,"Al Athnayn",الاثنين,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:13 (MST)","07:31 (MST)","12:32 (MST)","15:14 (MST)","17:33 (MST)","17:49 (MST)","18:41 (MST)","06:03 (MST)","00:32 (MST)","22:12 (MST)","02:52 (MST)","02 Jan 2024",1704211261,02-01-2024,DD-MM-YYYY,02,Tuesday,1,January,2024,AD,"Anno Domini",21-06-1445,DD-MM-YYYY,21,"Al Thalaata",الثلاثاء,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:13 (MST)","07:31 (MST)","12:32 (MST)","15:15 (MST)","17:33 (MST)","17:50 (MST)","18:42 (MST)","06:03 (MST)","00:32 (MST)","22:13 (MST)","02:52 (MST)","03 Jan 2024",1704297661,03-01-2024,DD-MM-YYYY,03,Wednesday,1,January,2024,AD,"Anno Domini",22-06-1445,DD-MM-YYYY,22,"Al Arba'a",الاربعاء,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:13 (MST)","07:31 (MST)","12:33 (MST)","15:15 (MST)","17:34 (MST)","17:51 (MST)","18:42 (MST)","06:03 (MST)","00:33 (MST)","22:13 (MST)","02:52 (MST)","04 Jan 2024",1704384061,04-01-2024,DD-MM-YYYY,04,Thursday,1,January,2024,AD,"Anno Domini",23-06-1445,DD-MM-YYYY,23,"Al Khamees",الخميس,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:32 (MST)","12:33 (MST)","15:16 (MST)","17:35 (MST)","17:52 (MST)","18:43 (MST)","06:04 (MST)","00:33 (MST)","22:14 (MST)","02:53 (MST)","05 Jan 2024",1704470461,05-01-2024,DD-MM-YYYY,05,Friday,1,January,2024,AD,"Anno Domini",24-06-1445,DD-MM-YYYY,24,"Al Juma'a",الجمعة,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:32 (MST)","12:34 (MST)","15:17 (MST)","17:36 (MST)","17:53 (MST)","18:44 (MST)","06:04 (MST)","00:34 (MST)","22:14 (MST)","02:53 (MST)","06 Jan 2024",1704556861,06-01-2024,DD-MM-YYYY,06,Saturday,1,January,2024,AD,"Anno Domini",25-06-1445,DD-MM-YYYY,25,"Al Sabt",السبت,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:32 (MST)","12:34 (MST)","15:18 (MST)","17:37 (MST)","17:53 (MST)","18:44 (MST)","06:04 (MST)","00:34 (MST)","22:15 (MST)","02:53 (MST)","07 Jan 2024",1704643261,07-01-2024,DD-MM-YYYY,07,Sunday,1,January,2024,AD,"Anno Domini",26-06-1445,DD-MM-YYYY,26,"Al Ahad",الاحد,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:32 (MST)","12:34 (MST)","15:18 (MST)","17:38 (MST)","17:54 (MST)","18:45 (MST)","06:04 (MST)","00:35 (MST)","22:16 (MST)","02:54 (MST)","08 Jan 2024",1704729661,08-01-2024,DD-MM-YYYY,08,Monday,1,January,2024,AD,"Anno Domini",27-06-1445,DD-MM-YYYY,27,"Al Athnayn",الاثنين,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:32 (MST)","12:35 (MST)","15:19 (MST)","17:38 (MST)","17:55 (MST)","18:46 (MST)","06:04 (MST)","00:35 (MST)","22:16 (MST)","02:54 (MST)","09 Jan 2024",1704816061,09-01-2024,DD-MM-YYYY,09,Tuesday,1,January,2024,AD,"Anno Domini",28-06-1445,DD-MM-YYYY,28,"Al Thalaata",الثلاثاء,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:32 (MST)","12:35 (MST)","15:20 (MST)","17:39 (MST)","17:56 (MST)","18:47 (MST)","06:04 (MST)","00:35 (MST)","22:17 (MST)","02:54 (MST)","10 Jan 2024",1704902461,10-01-2024,DD-MM-YYYY,10,Wednesday,1,January,2024,AD,"Anno Domini",29-06-1445,DD-MM-YYYY,29,"Al Arba'a",الاربعاء,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:32 (MST)","12:36 (MST)","15:21 (MST)","17:40 (MST)","17:57 (MST)","18:48 (MST)","06:04 (MST)","00:36 (MST)","22:17 (MST)","02:54 (MST)","11 Jan 2024",1704988861,11-01-2024,DD-MM-YYYY,11,Thursday,1,January,2024,AD,"Anno Domini",30-06-1445,DD-MM-YYYY,30,"Al Khamees",الخميس,6,"Jumādá al-ākhirah","جُمادى الآخرة",1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:31 (MST)","12:36 (MST)","15:21 (MST)","17:41 (MST)","17:58 (MST)","18:48 (MST)","06:04 (MST)","00:36 (MST)","22:18 (MST)","02:55 (MST)","12 Jan 2024",1705075261,12-01-2024,DD-MM-YYYY,12,Friday,1,January,2024,AD,"Anno Domini",02-07-1445,DD-MM-YYYY,02,"Al Juma'a",الجمعة,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:31 (MST)","12:36 (MST)","15:22 (MST)","17:42 (MST)","17:58 (MST)","18:49 (MST)","06:04 (MST)","00:37 (MST)","22:18 (MST)","02:55 (MST)","13 Jan 2024",1705161661,13-01-2024,DD-MM-YYYY,13,Saturday,1,January,2024,AD,"Anno Domini",03-07-1445,DD-MM-YYYY,03,"Al Sabt",السبت,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:31 (MST)","12:37 (MST)","15:23 (MST)","17:43 (MST)","17:59 (MST)","18:50 (MST)","06:04 (MST)","00:37 (MST)","22:19 (MST)","02:55 (MST)","14 Jan 2024",1705248061,14-01-2024,DD-MM-YYYY,14,Sunday,1,January,2024,AD,"Anno Domini",04-07-1445,DD-MM-YYYY,04,"Al Ahad",الاحد,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:31 (MST)","12:37 (MST)","15:24 (MST)","17:44 (MST)","18:00 (MST)","18:51 (MST)","06:04 (MST)","00:37 (MST)","22:19 (MST)","02:55 (MST)","15 Jan 2024",1705334461,15-01-2024,DD-MM-YYYY,15,Monday,1,January,2024,AD,"Anno Domini",05-07-1445,DD-MM-YYYY,05,"Al Athnayn",الاثنين,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:31 (MST)","12:38 (MST)","15:25 (MST)","17:45 (MST)","18:01 (MST)","18:52 (MST)","06:04 (MST)","00:38 (MST)","22:20 (MST)","02:55 (MST)","16 Jan 2024",1705420861,16-01-2024,DD-MM-YYYY,16,Tuesday,1,January,2024,AD,"Anno Domini",06-07-1445,DD-MM-YYYY,06,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:31 (MST)","12:38 (MST)","15:25 (MST)","17:46 (MST)","18:02 (MST)","18:52 (MST)","06:04 (MST)","00:38 (MST)","22:21 (MST)","02:56 (MST)","17 Jan 2024",1705507261,17-01-2024,DD-MM-YYYY,17,Wednesday,1,January,2024,AD,"Anno Domini",07-07-1445,DD-MM-YYYY,07,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (MST)","07:30 (MST)","12:38 (MST)","15:26 (MST)","17:46 (MST)","18:03 (MST)","18:53 (MST)","06:04 (MST)","00:38 (MST)","22:21 (MST)","02:56 (MST)","18 Jan 2024",1705593661,18-01-2024,DD-MM-YYYY,18,Thursday,1,January,2024,AD,"Anno Domini",08-07-1445,DD-MM-YYYY,08,"Al Khamees",الخميس,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:13 (MST)","07:30 (MST)","12:39 (MST)","15:27 (MST)","17:47 (MST)","18:04 (MST)","18:54 (MST)","06:03 (MST)","00:39 (MST)","22:22 (MST)","02:56 (MST)","19 Jan 2024",1705680061,19-01-2024,DD-MM-YYYY,19,Friday,1,January,2024,AD,"Anno Domini",09-07-1445,DD-MM-YYYY,09,"Al Juma'a",الجمعة,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:13 (MST)","07:30 (MST)","12:39 (MST)","15:28 (MST)","17:48 (MST)","18:05 (MST)","18:55 (MST)","06:03 (MST)","00:39 (MST)","22:22 (MST)","02:56 (MST)","20 Jan 2024",1705766461,20-01-2024,DD-MM-YYYY,20,Saturday,1,January,2024,AD,"Anno Domini",10-07-1445,DD-MM-YYYY,10,"Al Sabt",السبت,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:13 (MST)","07:29 (MST)","12:39 (MST)","15:29 (MST)","17:49 (MST)","18:06 (MST)","18:56 (MST)","06:03 (MST)","00:39 (MST)","22:23 (MST)","02:56 (MST)","21 Jan 2024",1705852861,21-01-2024,DD-MM-YYYY,21,Sunday,1,January,2024,AD,"Anno Domini",11-07-1445,DD-MM-YYYY,11,"Al Ahad",الاحد,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:13 (MST)","07:29 (MST)","12:39 (MST)","15:29 (MST)","17:50 (MST)","18:07 (MST)","18:57 (MST)","06:03 (MST)","00:40 (MST)","22:23 (MST)","02:56 (MST)","22 Jan 2024",1705939261,22-01-2024,DD-MM-YYYY,22,Monday,1,January,2024,AD,"Anno Domini",12-07-1445,DD-MM-YYYY,12,"Al Athnayn",الاثنين,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:12 (MST)","07:28 (MST)","12:40 (MST)","15:30 (MST)","17:51 (MST)","18:07 (MST)","18:57 (MST)","06:02 (MST)","00:40 (MST)","22:24 (MST)","02:56 (MST)","23 Jan 2024",1706025661,23-01-2024,DD-MM-YYYY,23,Tuesday,1,January,2024,AD,"Anno Domini",13-07-1445,DD-MM-YYYY,13,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:12 (MST)","07:28 (MST)","12:40 (MST)","15:31 (MST)","17:52 (MST)","18:08 (MST)","18:58 (MST)","06:02 (MST)","00:40 (MST)","22:24 (MST)","02:56 (MST)","24 Jan 2024",1706112061,24-01-2024,DD-MM-YYYY,24,Wednesday,1,January,2024,AD,"Anno Domini",14-07-1445,DD-MM-YYYY,14,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:12 (MST)","07:28 (MST)","12:40 (MST)","15:32 (MST)","17:53 (MST)","18:09 (MST)","18:59 (MST)","06:02 (MST)","00:40 (MST)","22:25 (MST)","02:56 (MST)","25 Jan 2024",1706198461,25-01-2024,DD-MM-YYYY,25,Thursday,1,January,2024,AD,"Anno Domini",15-07-1445,DD-MM-YYYY,15,"Al Khamees",الخميس,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:11 (MST)","07:27 (MST)","12:40 (MST)","15:33 (MST)","17:54 (MST)","18:10 (MST)","19:00 (MST)","06:01 (MST)","00:41 (MST)","22:25 (MST)","02:56 (MST)","26 Jan 2024",1706284861,26-01-2024,DD-MM-YYYY,26,Friday,1,January,2024,AD,"Anno Domini",16-07-1445,DD-MM-YYYY,16,"Al Juma'a",الجمعة,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:11 (MST)","07:26 (MST)","12:41 (MST)","15:33 (MST)","17:55 (MST)","18:11 (MST)","19:01 (MST)","06:01 (MST)","00:41 (MST)","22:26 (MST)","02:56 (MST)","27 Jan 2024",1706371261,27-01-2024,DD-MM-YYYY,27,Saturday,1,January,2024,AD,"Anno Domini",17-07-1445,DD-MM-YYYY,17,"Al Sabt",السبت,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:10 (MST)","07:26 (MST)","12:41 (MST)","15:34 (MST)","17:56 (MST)","18:12 (MST)","19:02 (MST)","06:00 (MST)","00:41 (MST)","22:26 (MST)","02:56 (MST)","28 Jan 2024",1706457661,28-01-2024,DD-MM-YYYY,28,Sunday,1,January,2024,AD,"Anno Domini",18-07-1445,DD-MM-YYYY,18,"Al Ahad",الاحد,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:10 (MST)","07:25 (MST)","12:41 (MST)","15:35 (MST)","17:57 (MST)","18:13 (MST)","19:03 (MST)","06:00 (MST)","00:41 (MST)","22:26 (MST)","02:56 (MST)","29 Jan 2024",1706544061,29-01-2024,DD-MM-YYYY,29,Monday,1,January,2024,AD,"Anno Domini",19-07-1445,DD-MM-YYYY,19,"Al Athnayn",الاثنين,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:09 (MST)","07:25 (MST)","12:41 (MST)","15:36 (MST)","17:58 (MST)","18:14 (MST)","19:03 (MST)","05:59 (MST)","00:41 (MST)","22:27 (MST)","02:56 (MST)","30 Jan 2024",1706630461,30-01-2024,DD-MM-YYYY,30,Tuesday,1,January,2024,AD,"Anno Domini",20-07-1445,DD-MM-YYYY,20,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:09 (MST)","07:24 (MST)","12:41 (MST)","15:37 (MST)","17:59 (MST)","18:15 (MST)","19:04 (MST)","05:59 (MST)","00:41 (MST)","22:27 (MST)","02:56 (MST)","31 Jan 2024",1706716861,31-01-2024,DD-MM-YYYY,31,Wednesday,1,January,2024,AD,"Anno Domini",21-07-1445,DD-MM-YYYY,21,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,1445,AH,"Anno Hegirae",33.032167,-111.966842,America/Phoenix,0,"Shia Ithna-Ashari, Leva Institute, Qum",16,14,4,JAFARI,34.6415764,50.8746035,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
<!doctype html><html lang="en">    <head>        <meta charset="utf-8">        <meta name="viewport" content="width=device-width, initial-scale=1">        <title>Slim Application Error</title>        <style>            body{margin:0;padding:30px;font:12px/1.5 Helvetica,Arial,Verdana,sans-serif}            h1{margin:0;font-size:48px;font-weight:normal;line-height:48px}            strong{display:inline-block;width:65px}        </style>    </head>    <body>        <h1>Slim Application Error</h1>        <div><p>A website error has occurred. Sorry for the temporary inconvenience.</p></div>        <a href="#" onclick="window.history.go(-1)">Go Back</a>    </body></html>